email_id,stock_mentions_wizardlm2:7b,stock_mentions_mistral,summary_wizardlm2:7b,summary_mistral
campbell-l/discussion_threads/1379.,True,False,"This email from John J. Mullin, President of Datek Online Brokerage Services LLC, informs Larry Campbell about the discontinuation of regular mail notification for margin calls and the new policy of e-mail notification to provide faster service. It also reminds him of his responsibility to monitor his margin account status, update his contact information, and the brokerage's right to act on his account under certain conditions.","Broker notifying customer about changes in margin call notification process, emphasizing the importance of regular account monitoring"
kean-s/archiving/untitled/2215.,False,True,"This email instructs to call a customer service number with a specific pin code for account-related inquiry, likely related to account access or verification.",Request for a phone call with potential account access details
shackleton-s/all_documents/75.,True,False,"Marcy Youngerman is reminding Susan Flynn to follow up on previous attempts to contact Adele Raspe, an attorney, and to check in with Sara Shackleton regarding NY Elec & Gas Corp. regarding a threshold issue after the holiday weekend. The email also mentions expected nice summer weather.","Discussion about follow-up with Public Service Electric and Gas Company and New York Elec & Gas Corp., possibly regarding a legal matter or business dealings, not explicitly discussing stocks or stock prices."
kean-s/calendar/untitled/91.,True,False,"The speaker is scheduled to present at 1:10 Central time, discussing market trends and investment strategies with a focus on a particular company's performance and stock valuation.",Discussion of a specific meeting time
sager-e/epmi___power/119.,False,True,"This message discusses the ongoing efforts and discussions within the Western Power Trading Forum (WPTF), including updates on market dynamics, regulatory changes, and strategic moves in the energy sector such as mergers (Dynegy and Illinova, NEV and AES). The author expresses concerns about the potential implications of a Commission decision regarding SCE's application, which could impact WPTF's position. Additionally, there's a light-hearted suggestion to honor Nancy Day with a new fund to support late-night policy discussions during WPTF meetings. The tone is informative yet conversational, highlighting the complexities and nuances of the energy market and regulatory environment.",Discussion regarding the overscheduling event on Silver Peak intertie and comments from Ken Lackey of Edison Mission Marketing and Trading
kean-s/discussion_threads/4.,False,True,"An upcoming call to discuss the merger details, including a phone number (8004570183) and a confirmation code (506711).",Teleconference about merger
taylor-m/all_documents/24.,True,False,"Paul Simons is confirming the capital requirements for a new trading company under CFTC rules, which must have total assets in excess of US$10,000,000, similar to ECTRIC.",Discusses capital requirements for a new trading company under CFTC rules.
beck-s/deleted_items/203.,True,False,"Piper is proposing to demonstrate their outsourcing services for mid and back office functions to Paul's team, highlighting the benefits of their ProsessCo/ServiceCo. services for managing transaction flow, and addressing security and service level concerns, possibly related to a commodity or financial application like CommodityLogic. A follow-up meeting is proposed.","Email discusses outsourcing mid and back office functions to 'ProsessCo/ServiceCo', highlighting potential services offered including risk reporting, general ledger, and settlements."
shackleton-s/sent/6372.,True,False,"Sara Shackleton is clarifying her role in preparing guidelines for credit approval and transaction size for traders at Enron North America Corp., and mentions the existence of similar guidelines for some foreign offices, including a pending document for Argentina. She also notes the absence of swap eligibility guidelines in the attached document and offers to assist further.","Discussion about trader guidelines, not directly related to stocks or stock market"
shackleton-s/sent/156.,False,True,"The email discusses legal issues related to netting transactions under French law for an ISDA agreement with Vivendi, S.A., and asks the recipients to prepare a draft ISDA based on attached documentation.","Email discusses preparation of an ISDA agreement for a French company named Vivendi, S.A."
mcconnell-m/sent/694.,True,False,"Mike is discussing the Enron Net Works changes with David, and he plans to send the updated document to Greg and Jeff for further work on the ENW project. He also inquires about Mark's draft.",Email discusses changes to Enron Net Works project
guzman-m/_sent_mail/350.,False,True,"The sender is providing a sports betting pick for a football game between the San Francisco 49ers and an unnamed opponent, possibly as part of a weekly betting advice service.",Prediction about a company in San Francisco
kean-s/calendar/untitled/59.,True,False,"This email outlines the agenda for the upcoming general staff meeting, including a presentation on the company's financial performance and an update on market trends, which implicitly involves discussions related to stock market performance.",Discusses a general staff meeting with no reference to stocks or market-related content.
shackleton-s/notes_inbox/1387.,False,True,"John is providing an update on the status of ISDA Master Agreements with potential counterparties Mitsui Marine and Fire Insurance Co., The Industrial Bank of Japan, and Sanwa Bank Ltd. He notes that Enron Japan Corp. does not have any existing brokerage arrangements and asks Darren for more information on existing ISDA or brokerage agreements that could be used for financial trading.",Discussion about existing ISDA/brokerage agreements for financial trades in Enron Japan
whitt-m/inbox/159.,True,False,"This email is a newsletter from RigZone Daily News for Friday, December 14, 2001, covering news and events in the worldwide upstream oil & gas industry, with a link to the full version.",Daily news update on the global upstream oil and gas industry
kean-s/archiving/untitled/2255.,True,False,"Sue is requesting a meeting with Lance to discuss the performance of their mutual fund investments and potential reallocation, including specific questions about a recent market downturn.",Lance McCarthy requested a meeting with Sue Mara
taylor-m/sent/86.,True,False,"This email discusses the transfer of assets from JEDI I to JEDI II, including specific investments and credit facilities associated with each asset, as well as a mention of an existing master agreement between JEDI I and Inland.","Email discusses the transfer of assets from JEDI I to JEDI II, including investment in Inland Resources, credit facilities with Aspect Resources LLC and TransCoastal Marine Services, joint venture interest with Vastar Resources, and partnership with Browning Exploration LP."
scott-s/wordsmith/47.,True,False,"The email discusses the concept of a 'fata morgana' as an analogy for unrealistic expectations of predictable and controllable results in investments, specifically referencing a quote from Ichak Adizes on the challenges of early-stage companies like Go-Go companies.","Discussion of the concept 'fata morgana' as a metaphor for unattainable or illusory results, not directly related to stocks or stock markets."
dasovich-j/mba__macroeconomics/48.,True,False,"The authors critique the economic theory behind proposed Republican tax cuts, specifically focusing on capital gains tax cuts and their potential impact on investment, savings, and income distribution. They argue that such tax cuts do not incentivize investment, may lead to a decrease in national savings, and disproportionately benefit the wealthy.","Article discussing the effects and implications of Republican tax proposals, particularly focusing on capital gains tax cuts"
kean-s/all_documents/91.,True,False,"The speaker is scheduled to present at an event at 1:10 PM Central time, likely related to market analysis or investment given the context of stock market discussions,",Discussing a scheduled conversation
kean-s/calendar/untitled/64.,True,False,"Discussion on the allocation of benchmark investments for client portfolios, referencing specific fund tickers and current market performance.","Email discussion between Gordon Weil, Dave Marquart, and Richard Tabors regarding undisclosed details."
taylor-m/online_trading/123.,True,False,"The email discusses a legal variation of an existing contractual structure, specifically the Publication and Execution Agreement (PA) and Execution Transaction Agreement (ETA), to govern transactions by General Terms and Conditions (GTCs) instead of a master agreement. The conversation centers around the legality and effectiveness of sending a letter to counterparties to vary the ETA without requiring their signature, leveraging the GTCs for better credit terms.",Email discusses modifying credit provisions of an existing Master Agreement to allow for transactions governed by General Trading Conditions (GTC) instead.
taylor-m/all_documents/548.,True,False,Sandra Hrna is following up with Louise Kitchen and David G Mally regarding the inclusion of tax language in the general terms and conditions (GTCs) for coal and power products to be sold via Enron Online. She emphasizes the importance of this addition for legal protection before the launch.,"Discussion about General Terms and Conditions (GTC) for coal and power products on Enron Online, with emphasis on adding appropriate tax language."
kean-s/archiving/untitled/2299.,True,False,"Joe Hartsoe is discussing the potential acquisition of a company, including valuation and the impact on their stock if the deal goes through.",Request for Joe Hartsoe to manage a specific matter
kean-s/discussion_threads/110.,False,True,"This email instructs to call a customer service number using a specific pin code for a response format detailing the properties of a summary to be evaluated, likely for a report or analysis.",Unknown; potential discussion of account access details
kean-s/calendar/untitled/27.,True,False,"Joe Hartsoe is requesting a meeting to discuss potential investment strategies for the upcoming quarter, specifically mentioning the performance of certain funds and market trends. No explicit stock tickers or prices mentioned, but the content implies a discussion related to financial instruments and the stock market.",Joe Hartsoe assigned a task.
dasovich-j/all_documents/1890.,False,True,"VentureWire provides daily updates on the venture capital and startup ecosystem. In today's issue, we have a list of executive changes, fund announcements, and news about startups and their investors. Notably, Xpede has appointed Hector Andres Negroni as its CEO, replacing Derek Wilkes. Starting Point Partners has announced its first investment fund targeting early-stage infrastructure and technology companies. Michael DeVico has taken over as CEO at online lender service applications provider Xpede. VideoChip Technologies named Hector Andres Negroni as its CEO, with Derek Wilkes stepping down. GSVentures, a new venture capital fund from Goldman Sachs Group, was announced and incorrect information regarding its URL from the previous day's VentureWire has been corrected. Additionally, there are profiles of promising startups that may eventually go for an IPO, which can be found in ComputerLetter. Subscribers can find more detailed information and analysis in VentureWire, and those interested in receiving this daily update can subscribe through the provided link.","VentureWire's Friday issue discusses various private company business news, including funding rounds and mergers & acquisitions in the technology sector."
geaccone-t/gpg_ops/1.,False,True,"The email discusses an upside/downside list for ETS Operations with a sub-total for items included in the first Current Estimate, mentioning potential future targets and monthly reporting procedures.","Discusses upside/downside analysis for ETS Operations, potentially impacting future estimates."
martin-t/inbox/436.,True,False,"This newsletter provides an update on various activities and developments within the oil and gas industry. It includes announcements of new projects, such as PDVSA's decision to increase its debt offering to finance its operations, and updates on existing projects like the development of Shell's Gorgon Gas project in Australia. The newsletter also reports on financial data such as commodity prices and rig utilization rates, which are essential for industry stakeholders to track market trends. Additionally, it features job opportunities, company promotions, and upcoming industry conferences. For those interested in discussing stocks or other investment-related topics, the newsletter mentions the option to sponsor events, advertise job openings, or submit press releases for further information and promotion.",Oil and Gas Industry News for the Past 7 Days
kean-s/all_documents/64.,True,False,"Discussion on the performance of investment portfolios and allocation strategy for clients, with specific mentions of 'Invesco Dynamic Energy' ETF (IXE) and 'Vanguard Total Stock Market Index' (VTSMX).","Meeting with Gordon Weil, Dave Marquart, and Richard Tabors"
kitchen-l/_americas/turbines/trading/5.,False,True,"The email discusses an update to the Gas Daily option pricing model, specifically addressing the pricing of index puts and calls in relation to gas daily index premiums or discounts.",Discusses changes to Gas Daily option pricing model
presto-k/sent_items/727.,False,True,"The sender is confirming that they have verified daily reports and are focusing on changes in daily positions, with both Lavo and the sender being satisfied with the current status of these reports. No direct discussion of stocks or stock prices.",Discussion of daily positions changes for an unspecified asset or assets
campbell-l/all_documents/6.,False,True,Randy is reporting that the sample results from TW PGE are significantly higher compared to the previous week's samples.,"Randy is discussing test results from TW PGE, which may imply a reference to stock performance due to potential impact on company shares."
kean-s/calendar/untitled/95.,True,False,"Ken Lay is discussing the potential for Enron Corporation to purchase Portland General Group and the implications of this acquisition on Enron's stock performance, which James J. Hoecker acknowledges and agrees requires careful consideration.","Speech by Ken Lay, possibly a corporate executive or leader"
kean-s/all_documents/95.,True,False,"Ken Lay is discussing the necessity of an Enron stock price rebound to maintain credibility with investors, while James J. Hoecker expresses concerns about the company's current financial state and its impact on stock prices.",Discussion between Ken Lay and James J. Hoecker
shackleton-s/all_documents/53.,True,False,"Brent Hendry is following up on the progress of comments to Duke Energy Trading and Marketing LLC regarding a master agreement, and asking Sara Shackleton who is in charge of addressing this at ECT. There is also a request for an update from Pablo regarding the status of comments to Perez Companc.",Request for update on comments to Perez Companc regarding a master document.
jones-t/notes_inbox/1866.,False,True,"The email discusses the drafting of a swap document involving Paul Touradji (X Tiger) and Per Sekse Enron in New York, aiming to cover all products including Enron Metals Ltd., with a note on clarifying trading terms with most of Per Sekse's funds.","Trade negotiations regarding a swap document involving Per Sekse Enron New York, potentially including all products and Enron Metals Ltd. (not limited to North America)."
zufferli-j/inbox/47.,True,False,"These attachments pertain to Enron's direct sales contracts effective from January 1, 2002, and a letter regarding the same issue.","Enron is sharing Excel and Word documents regarding their Direct Sales Contracts, effective from January 1, 2002."
kean-s/archiving/untitled/2225.,True,False,"Paul Jacarty, Andy Keleman, and Jack Heath are coordinating with Jeff Brockmeyer and a client named Janine Migden via a toll-free number for a meeting on Tuesday at 3 PM to discuss financial matters. The mention '2760 -- Andy Fastow' suggests a reference to a specific individual or account associated with Andrew Fastow, the former CFO of Enron.","Meeting invitation with participants Paul Jacarty, Andy Keleman, Jack Heath, Jeff Brockmeyer, and others, possibly discussing a business matter related to 1-800-348-4825 or 2760 - Andy Fastow."
perlingiere-d/calendar/1.,False,True,Scheduling a meeting to discuss the upcoming quarterly benchmark results and potential investment opportunities post-evaluation.,Discussion about an upcoming merger between two unspecified companies
nemec-g/all_documents/4685.,True,False,"Ken Krisa is coordinating with Joan Quick to discuss a swaption and the terms of an agency agreement, specifically regarding a January Wildhorse Letter Agreement and an ISDA. He is requesting a call with Joan and planning to join a conference call at 2:30 PM after 3:30 PM.","Discussion about a January Wildhorse Letter Agreement, agency agreement, and swaption."
dasovich-j/all_documents/93.,True,False,"The email discusses the economic impact of proposed Republican tax cuts, specifically focusing on the effects of capital gains tax cuts, child credits, and changes to the Earned Income Tax Credit on growth and income distribution. It critiques the theoretical underpinnings of the tax cuts and their potential to benefit mainly the wealthy.","The email discusses the economic impact of tax cuts, specifically focusing on capital gains taxes and their effect on growth, savings, and income distribution."
shackleton-s/sent/48.,True,False,"Brent Hendry is following up on the progress of Enron Development's comments regarding Duke Energy Trading and Marketing LLC's master release to its affiliate, as well as related credit assessments and power trading issues in Argentina. He also asks about the status of comments to Perez Companc.",Brent Hendry inquiring about the status of comments on Perez Companc master
corman-s/deleted_items/390.,True,False,"The email is discussing potential issues with 'Outages' that could affect liquidity or trading flows, specifically mentioning the ticker symbol 'NNG'.","Email discusses potential impact of outages at NNG, possibly related to operational flow."
germany-c/discussion_threads/726.,True,False,"The sender acknowledges receiving information about Navigator and mentions discussions with John Hodge, indicating a potential follow-up. The email pertains to an upcoming due date for TCO capacity and includes multiple recipients from Enron and Columbia Energy Group.","Discussion regarding TCO capacity payment due on March 15, possibly referencing a company named 'Navigator'."
nemec-g/notes_inbox/2408.,True,False,"Ken Krisa is requesting information on a January Wildhorse letter agreement and the status of an agency agreement and an ISDA from Joan Quick. He also proposes to discuss a swaption and schedules a conference call regarding these matters. The email chain pertains to financial contracts and agreements, specifically in the context of derivatives like swaptions.","Discussion about the January Wildhorse Letter Agreement, agency agreement, and swaption"
shackleton-s/notes_inbox/1247.,True,False,"E*TRADE is promoting a referral program where existing customers can earn $50 for each new brokerage customer they refer, who also receives $75. The email provides details on how to participate in the program and the terms and conditions of the offer.",E*Trade is offering a referral bonus for new customers
dasovich-j/all_documents/2530.,False,True,"In this issue of VentureWire, we cover a range of topics including venture capital fund news, personnel changes in VC firms, and the latest on investments in various sectors. Notable updates include Securitas Capital closing a $100 million early-stage insurance fund, Leo Hindery Jr.'s role as a venture partner at Allegis Capital, and the correct spelling of How2TV's new CEO Henio R. Arcangeli Jr. Additionally, there are announcements for upcoming events like Technology Outlook, which will focus on pervasive computing and its implications for personal networking, electronic books, entertainment appliances, portable and handheld devices, and smartphones. Subscribers can find detailed reports and analysis in the full article. VentureWire continues to provide timely coverage of the venture capital landscape, including mergers, acquisitions, and significant funding rounds.","Daily venture newsletter featuring various business news stories about funding rounds, product launches, mergers and acquisitions, etc."
campbell-l/discussion_threads/5.,False,True,Randy is reporting that the sample results from TW PGE are significantly higher compared to last week's results.,Randy has noticed an increase in sample results at TW PGE
kitchen-l/_americas/mexico/63.,False,True,"The email discusses the equity strategy for 'Stealth' projects, potential interest from third parties like Transalta, and financing fees with a bank for project development.",Discussion of equity sell-off strategy and financing fees for 'Stealth' projects
stokley-c/chris_stokley/sent/104.,False,True,"The email is a request for contact information to discuss progress on getting data for the MV90 tables, which seems to be related to a business or project involving Jeff Richter. No direct discussion of stocks or stock market is present.","Discussion about obtaining access to MV90 tables, likely business data related to stocks or financial markets."
kean-s/all_documents/71.,True,False,"Sue is advising Lance on the purchase of a car with financing options at a dealership, and the conversation briefly touches on the stock market as a potential source for better interest rates.",Email between Sue Mara and Lance McCarthy discussing a project with ID number 37141
germany-c/deleted_items/27.,False,True,"Dear Enerfax Reader,

In today's issue, we delve into the complexities surrounding Dynegy's financial status and its implications for the energy market. We also take a closer look at the unfolding situation with Enron, exploring the latest developments and their impact on the industry and stakeholders. Additionally, we examine the role of technology firms like Perot Systems in the California power market investigation. As always, we provide insights into market trends, including updates on commodity prices, exchange rates, and stock performances. For those interested in the broader context, we offer perspectives on regulatory actions and policy changes that are shaping the future of energy markets. To join the discussion or to subscribe for more updates, please follow the unsubscribe instructions provided.

Stay informed and ahead of the curve with Enerfax Daily.

Best regards,
The Enerfax Team",Daily natural gas prices update and related market news
williams-w3/sent_items/403.,False,True,"Bill Williams is updating his team on recent transactions involving megawatt (mws) purchases for energy commodities HE 7-22 for the upcoming Friday and Saturday, and scheduling additional mws from APX for peak times. He also notes a shortage in ST-WBOM and ST-CALI for the same period.","Discusses buying and selling of HE stocks (HE 7-22, HE 10-22) and shorting ST-WBOM at a specific price in SP-15, also mentions APX transactions."
nemec-g/deleted_items/162.,False,True,"This email log details the synchronization of various mailbox folders, including actions taken such as adding, updating, and deleting items within offline folders like 'Inbox', 'Outbox', 'Sent Items', 'Calendar', 'Contacts', 'Earnings', 'Enron Financials', 'Expense Report', 'Journal', 'Lotus Notes', 'Notes', 'Personal', 'Phone List', 'Tasks', 'To Do', 'Travel Info.', and 'Vacation', as well as synchronizing forms, views, and folders related to legal databases WestLaw & Lexis. No specific content of emails is shown, but the folder named 'Earnings' and 'Enron Financials' may indicate a potential interest in financial or corporate earnings information.",Synchronization of various folders and items in Gerald Nemec's mailbox
kean-s/archiving/untitled/2322.,False,True,"This email pertains to a merger call scheduled for a specific phone number and reference code, with no explicit mention of stocks or market activity.",Telephone conference about a potential merger
zipper-a/tradecounts/46.,True,False,"The email discusses a revision in financial figures for US Power, likely indicating an update to previously reported numbers.",Email discusses revised US Power numbers
kean-s/discussion_threads/100.,True,False,"This email appears to be an invitation for a meeting to discuss the possibility of Fastow's involvement in the Enron project and possibly its financial aspects, referencing '2760,' which might be a project code. It includes names of individuals who are or were associated with Enron and/or related entities.","Meeting invitation for a call with Paul Jacarty, Andy Keleman, Jack Heath, Jeff Brockmeyer, and others. Possible discussion of business matter related to 1-800-348-4825 and Andy Fastow's project."
sager-e/all_documents/3642.,False,True,"The email discusses the ongoing discussions and developments within the energy trading industry, including a merger between Dynegy and Illinova, and the acquisition of New Energy Ventures (NEV) by AES. The author reflects on the implications of these events for the Western Power Trading Forum (WPTF), particularly in terms of membership and potential funding for the organization's initiatives. The email also touches upon the legal and regulatory considerations of such mergers, with a mention of Commissioner Neeper's stance on a specific application by Southern California Edison (SCE) and the potential impact of his decision on future hearings. Lastly, the author humorously suggests creating a fund in Nancy Day's honor to support WPTF's activities, especially for late-night policy discussions during their general meetings.",Discussion regarding market overscheduling event on Silver Peak intertie and comments from Ken Lackey of Edison Mission Marketing and Trading
jones-t/all_documents/258.,True,False,"The email discusses online trading Good Till Canceled (GTC) orders, mentions that Mark may have a comprehensive set of these orders, not just financial ones, and indicates the sender will consult with Stacy about adding these to her responsibilities.","Email contains attachment of General Trading Conditions (GTCs) for online trading, discussion about Mark having access to non-financial GTCs and plan to talk with Stacy about this issue."
campbell-l/all_documents/1548.,True,False,"This email informs Larry Campbell about the cessation of regular mail notification for margin calls and the new policy of using e-mail notifications to alert customers of margin call status, emphasizing the importance of keeping the on-file e-mail address up to date and monitoring his account regularly.","Brokerage firm notifying margin account holder about changes in margin call notification method, stressing the importance of regularly checking email and up-to-date account information"
ruscitti-k/all_documents/157.,False,True,The sender has confirmed that there are no documents regarding the project proposal.,Checking for stock availability
parks-j/deleted_items/570.,True,False,"The email discusses the completion of contractual agreements and documentation for a business deal involving Bridgeline, with references to the Dow Jones indicator and the need for final transactions and cleanup work by specific team members.","Email discusses delivery of documentation related to a gas deal with Bridgeline, mentioning funding and some remaining tasks."
saibi-e/inbox/357.,True,False,"The email discusses a variety of topics including a new microbe for clean coal research, environmental and regulatory issues affecting hydroelectric projects, Enron's auditor and SEC official admissions of failures, developments in Central American stock markets, and daily market briefs with commodity prices.",Email discusses a scientific breakthrough in clean coal research and various market updates
cash-m/contacts/8.,True,False,"The voice mail discusses a client's portfolio performance and mentions specific investment returns, but does not explicitly name stocks or stock tickers, yet the context heavily implies it relates to stock investments.",Voice mail message
guzman-m/all_documents/2059.,False,True,"The sender is providing a sports betting pick for a football game between San Francisco and an unspecified opponent, with an emphasis on the outcome of the game rather than the stock market or stocks. No discussion about stocks, stock prices, etc.","Recommendation of a company (San Francisco), possible stock investment"
campbell-l/pg_e_pcbs/1.,False,True,"Randy is reporting higher sample results for TW PGE compared to the previous week, likely a quality control or performance metric update.",Randy reported increased sample results for TW PGE
kaminski-v/universities/139.,False,True,"Christie is coordinating with Vince regarding setting up interviews to address issues raised by Maheshram, and mentioning her upcoming presentations and travel schedule. She also forwards an email from the Retail Energy Services Tiger Team at the Wharton School of the University of Pennsylvania to Vince, requesting more information on Enron's Retail Energy Services business to assist with their project.","Vittal, Maheshram is requesting additional information about Enron's Retail Energy Services business for a project, and scheduling a call to discuss it further."
kean-s/calendar/untitled/71.,True,False,"Sue Mara is requesting Lance McCarthy to provide an update on the performance metrics for Q4, including sales figures and market share. She also mentions a competitor's recent stock price jump and asks if this will affect their projections.",Request for meeting with Lance McCarthy regarding project 37141
presto-k/sent_items/792.,False,True,"The sender is requesting specific team composition for a project and referencing a previously provided list of preferences to an individual named Lavo, likely related to hiring or resource allocation.","Request for 10 additional staff members, previously shared a list of preferred stocks or securities with 'Lavo'."
lewis-a/deleted_items/337.,True,False,The email is a promotional message from 'XYZ Mutual Fund' announcing their latest quarterly performance report and inviting recipients to access it via a link or request a hard copy,Unsubscription request for a mailing list
kaminski-v/eci/eci/28.,True,False,"This email chain discusses the implementation of a Value at Risk (VaR) transaction policy for operational and market-to-market assets within Enron's system, with a focus on system configuration and valuation. It involves a draft policy from John Echols and requests opinions from colleagues on how to handle new deals, amendments, and reconfigurations in terms of VaR calculation.",Discussion about implementing a Value-at-Risk (VaR) transaction policy for operational and financial assets within the company's system.
jones-t/sent/92.,True,False,"Mark is informing Liz Sager that an individual in London has prepared a script for traders and mentions that Liz needs a similar one for the power desk traders, asking for contact information of the person responsible. Liz needs this to complete training mid-next week.",Training scripts preparation for traders
horton-s/all_documents/9.,False,True,"Shelly Worrell is coordinating with Michael Burke to send a job description for the CFO position at EOTT to Lou Rieger of SpencerStuart and is asking for confidentiality, keeping the information shared only with a select few within the company. She has also sent the attached job description earlier.",Email concerns EOTT CFO position; discussing stocks/stock market indirectly as it relates to a company's financial status
dean-c/deleted_items/10.,False,True,"The email instructs group members to check a new schedule with potential changes and suggests trading with another person if there is a conflict, possibly referring to shift swaps within the group. It does not explicitly discuss stocks or stock market activities.",Group meeting schedule changes with potential trading conflicts
taylor-m/sent/21.,True,False,"Paul Simons is confirming the capital requirements for a new trading company under CFTC rules, which must have total assets in excess of US$10,000,000, similar to ECTRIC's requirements.",Discusses capital requirements for a new trading company under CFTC rules
kean-s/calendar/untitled/77.,True,False,"Briefing on United States General Electric (US GEN) market influence and power, to be held tomorrow, including participants Linda Breathitt and Jordan Mintz. Contact information for Allegretti provided.","Discusses upcoming briefing regarding US General Electric Market Power, possibly a corporate or financial matter"
